name,gene,Control.Sample1.Sample1_SRR21835898,Control.Sample2.Sample2_SRR21835897,Control.Sample3.Sample3_SRR21835896,SodiumPropionate.Sample5.Sample5_SRR21835900,SodiumPropionate.Sample6.Sample6_SRR21835899
dnaA,dnaA,78,73,59,83,100
SAUSA300_RS00015,SAUSA300_RS00015,37,47,53,50,61
SAUSA300_RS00020,SAUSA300_RS00020,1,2,1,3,2
WP_000775114.1,WP_000775114,16,24,10,44,46
gyrB,gyrB,45,30,30,76,94
gyrA,gyrA,26,42,22,60,72
SAUSA300_RS00040,SAUSA300_RS00040,6,0,2,2,0
cds-WP,cds-WP,65,79,60,56,54
WP_000884334.1,WP_000884334,58,85,72,22,30
WP_000207105.1,WP_000207105,1,0,0,0,0
SAUSA300_RS00060,SAUSA300_RS00060,2,2,2,0,2
SAUSA300_RS00065,SAUSA300_RS00065,35,31,23,45,27
WP_001791710.1,WP_001791710,38,17,11,67,68
SAUSA300_RS00075,SAUSA300_RS00075,114,63,66,356,330
WP_000864305.1,WP_000864305,48,44,61,174,160
SAUSA300_RS00085,SAUSA300_RS00085,86,87,84,289,306
SAUSA300_RS00090,SAUSA300_RS00090,4,22,8,8,4
SAUSA300_RS00105,SAUSA300_RS00105,18,26,15,35,25
walK,walK,78,98,159,148,166
SAUSA300_RS00115,SAUSA300_RS00115,142,119,170,198,165
cds-WP_00110,cds-WP_00110,88,61,104,90,113
SAUSA300_RS00125,SAUSA300_RS00125,2,0,0,0,0
SAUSA300_RS00130,SAUSA300_RS00130,4,0,4,4,4
SAUSA300_RS00135,SAUSA300_RS00135,2,8,4,6,0
SAUSA300_RS00140,SAUSA300_RS00140,12,10,8,22,22
WP_001106057.1,WP_001106057,2,4,0,1,2
SAUSA300_RS14955,SAUSA300_RS14955,0,0,2,2,2
SAUSA300_RS00155,SAUSA300_RS00155,0,10,2,8,14
SAUSA300_RS00160,SAUSA300_RS00160,0,0,0,0,0
SAUSA300_RS00165,SAUSA300_RS00165,384,338,498,467,481
WP_001549960.1,WP_001549960,53,73,42,139,97
SAUSA300_RS00175,SAUSA300_RS00175,42,38,45,55,58
SAUSA300_RS00180,SAUSA300_RS00180,0,0,0,0,0
SAUSA300_RS00185,SAUSA300_RS00185,0,0,0,0,0
SAUSA300_RS00190,SAUSA300_RS00190,0,0,0,0,0
SAUSA300_RS00195,SAUSA300_RS00195,0,0,0,0,2
SAUSA300_RS00200,SAUSA300_RS00200,6,8,2,9,12
ccrA,ccrA,19,14,14,11,16
SAUSA300_RS00210,SAUSA300_RS00210,4,8,18,8,6
SAUSA300_RS00215,SAUSA300_RS00215,0,2,2,0,0
SAUSA300_RS00220,SAUSA300_RS00220,8,3,2,16,12
SAUSA300_RS00225,SAUSA300_RS00225,13,10,14,50,45
SAUSA300_RS00235,SAUSA300_RS00235,6,6,0,2,0
SAUSA300_RS15865,SAUSA300_RS15865,0,0,0,0,0
SAUSA300_RS00240,SAUSA300_RS00240,0,0,0,0,0
SAUSA300_RS00245,SAUSA300_RS00245,46,38,24,32,40
SAUSA300_RS14965,SAUSA300_RS14965,0,0,0,0,0
SAUSA300_RS00250,SAUSA300_RS00250,0,0,0,2,2
SAUSA300_RS00260,SAUSA300_RS00260,0,0,0,0,0
unknown,unknown,2578,2631,2146,1336,1331
SAUSA300_RS00270,SAUSA300_RS00270,0,0,0,0,0
SAUSA300_RS16055,SAUSA300_RS16055,0,0,0,0,0
SAUSA300_RS00280,SAUSA300_RS00280,305,353,418,415,511
SAUSA300_RS00285,SAUSA300_RS00285,0,0,1,0,0
SAUSA300_RS00290,SAUSA300_RS00290,2,0,7,0,0
SAUSA300_RS00295,SAUSA300_RS00295,0,0,0,0,0
SAUSA300_RS00300,SAUSA300_RS00300,0,0,0,0,0
SAUSA300_RS14975,SAUSA300_RS14975,0,0,0,0,0
SAUSA300_RS00305,SAUSA300_RS00305,0,1,0,1,0
