"name","gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"gene-SAUSA300_RS00010","gene-SAUSA300_RS00010",78,73,59,89,83,100
"gene-SAUSA300_RS00015","gene-SAUSA300_RS00015",37,47,53,85,50,61
"gene-SAUSA300_RS00020","gene-SAUSA300_RS00020",1,2,1,3,3,2
"gene-SAUSA300_RS00025","gene-SAUSA300_RS00025",16,24,10,42,44,46
"gene-SAUSA300_RS00030","gene-SAUSA300_RS00030",45,30,30,88,76,94
"gene-SAUSA300_RS00035","gene-SAUSA300_RS00035",26,42,22,66,60,72
"gene-SAUSA300_RS00040","gene-SAUSA300_RS00040",6,0,2,0,2,0
"gene-SAUSA300_RS00045","gene-SAUSA300_RS00045",65,79,60,48,56,54
"gene-SAUSA300_RS00050","gene-SAUSA300_RS00050",58,85,72,28,22,30
"gene-SAUSA300_RS00055","gene-SAUSA300_RS00055",1,0,0,2,0,0
"gene-SAUSA300_RS00060","gene-SAUSA300_RS00060",2,2,2,0,0,2
"gene-SAUSA300_RS00065","gene-SAUSA300_RS00065",35,31,23,36,45,27
"gene-SAUSA300_RS00070","gene-SAUSA300_RS00070",38,17,11,70,67,68
"gene-SAUSA300_RS00075","gene-SAUSA300_RS00075",114,63,66,370,356,330
"gene-SAUSA300_RS00080","gene-SAUSA300_RS00080",48,44,61,139,174,160
"gene-SAUSA300_RS00085","gene-SAUSA300_RS00085",86,87,84,313,289,306
"gene-SAUSA300_RS00090","gene-SAUSA300_RS00090",4,22,8,8,8,4
"gene-SAUSA300_RS00105","gene-SAUSA300_RS00105",18,26,15,32,35,25
"gene-SAUSA300_RS00110","gene-SAUSA300_RS00110",78,98,159,177,148,166
"gene-SAUSA300_RS00115","gene-SAUSA300_RS00115",142,119,170,172,198,165
"gene-SAUSA300_RS00120","gene-SAUSA300_RS00120",88,61,104,121,90,113
"gene-SAUSA300_RS00125","gene-SAUSA300_RS00125",2,0,0,1,0,0
"gene-SAUSA300_RS00130","gene-SAUSA300_RS00130",4,0,4,4,4,4
"gene-SAUSA300_RS00135","gene-SAUSA300_RS00135",2,8,4,4,6,0
"gene-SAUSA300_RS00140","gene-SAUSA300_RS00140",12,10,8,8,22,22
"gene-SAUSA300_RS00145","gene-SAUSA300_RS00145",2,4,0,0,1,2
"gene-SAUSA300_RS14955","gene-SAUSA300_RS14955",0,0,2,6,2,2
"gene-SAUSA300_RS00155","gene-SAUSA300_RS00155",0,10,2,10,8,14
"gene-SAUSA300_RS00160","gene-SAUSA300_RS00160",0,0,0,0,0,0
"gene-SAUSA300_RS00165","gene-SAUSA300_RS00165",384,338,498,518,467,481
"gene-SAUSA300_RS00170","gene-SAUSA300_RS00170",53,73,42,135,139,97
"gene-SAUSA300_RS00175","gene-SAUSA300_RS00175",42,38,45,80,55,58
"gene-SAUSA300_RS00180","gene-SAUSA300_RS00180",0,0,0,0,0,0
"gene-SAUSA300_RS00185","gene-SAUSA300_RS00185",0,0,0,0,0,0
"gene-SAUSA300_RS00190","gene-SAUSA300_RS00190",0,0,0,0,0,0
