name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,Sample3,Sample2,Sample1,Sample6,Sample5,Sample4
gene-SAUSA300_RS01370,gene-SAUSA300_RS01370,4977,4812.3,164.7,0.034,-4.9,5.9e-22,0.0e+00,0,0,5167,4549,4721,130,179,185
gene-SAUSA300_RS08885,gene-SAUSA300_RS08885,1887,1846,41,0.023,-5.5,1.3e-21,0.0e+00,0,0,2182,1688,1668,40,35,48
gene-SAUSA300_RS05720,gene-SAUSA300_RS05720,5769.7,5555.7,214,0.039,-4.7,6.8e-21,0.0e+00,0,0,5500,5132,6035,249,241,152
gene-SAUSA300_RS01365,gene-SAUSA300_RS01365,906.3,879,27.3,0.031,-5,5.2e-19,0.0e+00,0,0,1130,755,752,24,25,33
gene-SAUSA300_RS13060,gene-SAUSA300_RS13060,816,776.3,39.7,0.052,-4.3,5.9e-19,0.0e+00,0,0,812,787,730,34,35,50
gene-SAUSA300_RS09360,gene-SAUSA300_RS09360,346.3,334,12.3,0.037,-4.7,1.6e-17,0.0e+00,0,0,331,376,295,13,11,13
gene-SAUSA300_RS12780,gene-SAUSA300_RS12780,1620,199,1421,7.133,2.8,6.9e-17,0.0e+00,0,0,216,189,192,1335,1433,1495
gene-SAUSA300_RS04085,gene-SAUSA300_RS04085,2880.7,404.3,2476.3,6.12,2.6,7.4e-17,0.0e+00,0,0,429,397,387,2479,2584,2366
gene-SAUSA300_RS03675,gene-SAUSA300_RS03675,962.3,75,887.3,11.826,3.6,1.2e-16,0.0e+00,0,0,78,91,56,1070,783,809
gene-SAUSA300_RS04395,gene-SAUSA300_RS04395,372,351.7,20.3,0.059,-4.1,2.6e-16,0.0e+00,0,0,289,383,383,15,19,27
gene-SAUSA300_RS09370,gene-SAUSA300_RS09370,851,818,33,0.04,-4.6,2.6e-16,0.0e+00,0,0,572,1047,835,54,25,20
gene-SAUSA300_RS04080,gene-SAUSA300_RS04080,5325.7,834.7,4491,5.381,2.4,4.7e-16,0.0e+00,0,0,748,832,924,4327,5028,4118
gene-SAUSA300_RS04075,gene-SAUSA300_RS04075,2601.3,230.7,2370.7,10.252,3.4,4.7e-16,0.0e+00,0,0,133,300,259,2318,2479,2315
gene-SAUSA300_RS00710,gene-SAUSA300_RS00710,1907.7,1630.7,277,0.17,-2.6,4.9e-16,0.0e+00,0,0,1462,1619,1811,270,298,263
gene-SAUSA300_RS07250,gene-SAUSA300_RS07250,277.3,266.7,10.7,0.04,-4.6,1.2e-15,0.0e+00,0,0,319,245,236,5,16,11
gene-SAUSA300_RS09365,gene-SAUSA300_RS09365,276,263,13,0.05,-4.3,1.2e-15,0.0e+00,0,0,207,313,269,10,15,14
gene-SAUSA300_RS05245,gene-SAUSA300_RS05245,636,552.3,83.7,0.151,-2.7,2.2e-15,0.0e+00,0,0,566,585,506,87,80,84
gene-SAUSA300_RS14395,gene-SAUSA300_RS14395,678.3,590.3,88,0.149,-2.7,2.4e-15,0.0e+00,0,0,525,606,640,91,94,79
gene-SAUSA300_RS10525,gene-SAUSA300_RS10525,816,701.7,114.3,0.163,-2.6,3.6e-15,0.0e+00,0,0,686,631,788,122,104,117
gene-SAUSA300_RS06650,gene-SAUSA300_RS06650,402.7,367.3,35.3,0.097,-3.4,5.1e-15,0.0e+00,0,0,424,310,368,47,30,29
gene-SAUSA300_RS04095,gene-SAUSA300_RS04095,4654,866.3,3787.7,4.37,2.1,5.3e-15,0.0e+00,0,0,915,919,765,3676,4018,3669
gene-SAUSA300_RS01155,gene-SAUSA300_RS01155,3770.7,3067.7,703,0.229,-2.1,8.2e-15,0.0e+00,0,0,3457,2961,2785,733,717,659
gene-SAUSA300_RS04090,gene-SAUSA300_RS04090,2513,425.7,2087.3,4.903,2.3,1.0e-14,0.0e+00,0,0,493,421,363,1995,2341,1926
gene-SAUSA300_RS02035,gene-SAUSA300_RS02035,1001.7,842.7,159,0.189,-2.4,1.6e-14,0.0e+00,0,0,748,856,924,137,163,177
gene-SAUSA300_RS13270,gene-SAUSA300_RS13270,3081,2488.3,592.7,0.238,-2.1,3.1e-14,0.0e+00,0,0,2332,2526,2607,548,692,538
gene-SAUSA300_RS06655,gene-SAUSA300_RS06655,221.7,207,14.7,0.071,-3.8,3.5e-14,0.0e+00,0,0,227,182,212,21,11,12
gene-SAUSA300_RS06645,gene-SAUSA300_RS06645,313.3,285.3,28,0.099,-3.3,6.2e-14,0.0e+00,0,0,356,225,275,37,22,25
gene-SAUSA300_RS02700,gene-SAUSA300_RS02700,210.7,193.3,17.3,0.091,-3.5,9.8e-14,0.0e+00,0,0,207,207,166,21,14,17
gene-SAUSA300_RS01160,gene-SAUSA300_RS01160,2327.7,1863,464.7,0.249,-2,1.7e-13,0.0e+00,0,0,2216,1742,1631,487,472,435
gene-SAUSA300_RS06045,gene-SAUSA300_RS06045,976,863,113,0.131,-2.9,1.8e-13,0.0e+00,0,0,596,722,1271,100,122,117
gene-SAUSA300_RS02025,gene-SAUSA300_RS02025,492,74.7,417.3,5.582,2.5,1.9e-13,0.0e+00,0,0,69,71,84,463,428,361
gene-SAUSA300_RS10845,gene-SAUSA300_RS10845,206,194.3,11.7,0.062,-4,2.1e-13,0.0e+00,0,0,252,159,172,10,7,18
gene-SAUSA300_RS09610,gene-SAUSA300_RS09610,99.7,98.3,1.3,0.013,-6.3,2.9e-13,0.0e+00,0,0,135,76,84,0,2,2
gene-SAUSA300_RS00950,gene-SAUSA300_RS00950,3708.7,2905,803.7,0.277,-1.9,5.1e-13,0.0e+00,0,0,3432,2602,2681,778,890,743
gene-SAUSA300_RS03705,gene-SAUSA300_RS03705,327,281,46,0.165,-2.6,5.2e-13,0.0e+00,0,0,322,256,265,41,42,55
gene-SAUSA300_RS07245,gene-SAUSA300_RS07245,129.3,123.3,6,0.05,-4.3,5.9e-13,0.0e+00,0,0,149,95,126,6,6,6
gene-SAUSA300_RS02020,gene-SAUSA300_RS02020,1756.3,379,1377.3,3.635,1.9,1.1e-12,0.0e+00,0,0,354,393,390,1546,1419,1167
gene-SAUSA300_RS01010,gene-SAUSA300_RS01010,423,352.7,70.3,0.199,-2.3,1.6e-12,0.0e+00,0,0,360,300,398,65,85,61
gene-SAUSA300_RS05680,gene-SAUSA300_RS05680,95,94.3,0.7,0.007,-7.1,1.8e-12,0.0e+00,0,0,55,129,99,0,2,0
gene-SAUSA300_RS03005,gene-SAUSA300_RS03005,326,281,45,0.16,-2.6,2.0e-12,0.0e+00,0,0,227,300,316,31,50,54
gene-SAUSA300_RS07540,gene-SAUSA300_RS07540,210.3,186.3,24,0.128,-3,2.8e-12,0.0e+00,0,0,236,158,165,27,23,22
gene-SAUSA300_RS10945,gene-SAUSA300_RS10945,6227,4647,1580,0.34,-1.6,3.2e-12,0.0e+00,0,0,4490,4534,4917,1442,1756,1542
gene-SAUSA300_RS05240,gene-SAUSA300_RS05240,831.3,691,140.3,0.204,-2.3,3.8e-12,0.0e+00,0,0,925,537,611,151,110,160
gene-SAUSA300_RS09595,gene-SAUSA300_RS09595,87.3,87.3,0,0.001,-9.4,4.8e-12,0.0e+00,0,0,120,68,74,0,0,0
gene-SAUSA300_RS10935,gene-SAUSA300_RS10935,10044.3,7499.3,2545,0.339,-1.6,5.2e-12,0.0e+00,0,0,8702,7044,6752,2380,2463,2792
gene-SAUSA300_RS02705,gene-SAUSA300_RS02705,152.3,139.7,12.7,0.091,-3.5,5.9e-12,0.0e+00,0,0,181,136,102,12,14,12
gene-SAUSA300_RS04100,gene-SAUSA300_RS04100,6126,1605.3,4520.7,2.816,1.5,6.6e-12,0.0e+00,0,0,1681,1647,1488,4332,4900,4330
gene-SAUSA300_RS04615,gene-SAUSA300_RS04615,391,74,317,4.262,2.1,6.9e-12,0.0e+00,0,0,68,79,75,312,330,309
gene-SAUSA300_RS05225,gene-SAUSA300_RS05225,330,272.3,57.7,0.213,-2.2,8.3e-12,0.0e+00,0,0,289,246,282,70,48,55
gene-SAUSA300_RS03190,gene-SAUSA300_RS03190,2108.7,1694.3,414.3,0.244,-2,9.5e-12,0.0e+00,0,0,1189,2083,1811,425,487,331
gene-SAUSA300_RS10850,gene-SAUSA300_RS10850,121.7,113,8.7,0.077,-3.7,9.6e-12,0.0e+00,0,0,104,120,115,12,11,3
gene-SAUSA300_RS02805,gene-SAUSA300_RS02805,291.3,248.7,42.7,0.171,-2.5,9.7e-12,0.0e+00,0,0,316,216,214,36,55,37
gene-SAUSA300_RS00955,gene-SAUSA300_RS00955,453,377.7,75.3,0.199,-2.3,1.2e-11,0.0e+00,0,0,514,291,328,69,84,73
gene-SAUSA300_RS12065,gene-SAUSA300_RS12065,443.7,362.3,81.3,0.225,-2.2,1.3e-11,0.0e+00,0,0,424,340,323,65,104,75
gene-SAUSA300_RS07105,gene-SAUSA300_RS07105,3784.7,2805.3,979.3,0.349,-1.5,1.5e-11,0.0e+00,0,0,2496,2922,2998,987,1069,882
gene-SAUSA300_RS01755,gene-SAUSA300_RS01755,270.3,227,43.3,0.192,-2.4,1.6e-11,0.0e+00,0,0,282,203,196,39,48,43
gene-SAUSA300_RS13425,gene-SAUSA300_RS13425,539.7,430,109.7,0.255,-2,2.0e-11,0.0e+00,0,0,330,470,490,105,105,119
gene-SAUSA300_RS07545,gene-SAUSA300_RS07545,220.3,189,31.3,0.167,-2.6,2.2e-11,0.0e+00,0,0,223,175,169,27,25,42
gene-SAUSA300_RS15960,gene-SAUSA300_RS15960,217,189,28,0.147,-2.8,2.2e-11,0.0e+00,0,0,133,243,191,25,26,33
gene-SAUSA300_RS03670,gene-SAUSA300_RS03670,147.3,12.7,134.7,10.455,3.4,2.4e-11,0.0e+00,0,0,12,16,10,172,118,114
gene-SAUSA300_RS16125,gene-SAUSA300_RS16125,6221,4720,1501,0.318,-1.7,2.6e-11,0.0e+00,0,0,3613,5738,4809,1632,1568,1303
gene-SAUSA300_RS12745,gene-SAUSA300_RS12745,71.3,1.3,70,40.671,5.3,3.2e-11,0.0e+00,0,0,2,2,0,55,76,79
gene-SAUSA300_RS09515,gene-SAUSA300_RS09515,2195.7,1654.7,541,0.327,-1.6,4.0e-11,0.0e+00,0,0,1323,1695,1946,548,583,492
gene-SAUSA300_RS07100,gene-SAUSA300_RS07100,1426.3,1053.7,372.7,0.354,-1.5,4.1e-11,0.0e+00,0,0,1113,1047,1001,354,379,385
gene-SAUSA300_RS01945,gene-SAUSA300_RS01945,936,729.3,206.7,0.284,-1.8,4.6e-11,0.0e+00,0,0,576,871,741,242,173,205
gene-SAUSA300_RS03710,gene-SAUSA300_RS03710,261.7,223,38.7,0.174,-2.5,5.0e-11,0.0e+00,0,0,310,192,167,40,38,38
gene-SAUSA300_RS00800,gene-SAUSA300_RS00800,900.7,679.7,221,0.325,-1.6,5.1e-11,0.0e+00,0,0,653,736,650,196,249,218
gene-SAUSA300_RS09600,gene-SAUSA300_RS09600,71.7,70.3,1.3,0.018,-5.8,5.6e-11,0.0e+00,0,0,112,51,48,2,0,2
gene-SAUSA300_RS09605,gene-SAUSA300_RS09605,70,69,1,0.018,-5.8,5.6e-11,0.0e+00,0,0,84,67,56,3,0,0
gene-SAUSA300_RS09615,gene-SAUSA300_RS09615,77.3,76.3,1,0.017,-5.9,6.4e-11,0.0e+00,0,0,101,82,46,0,0,3
